year	Latin with Catholic symbols	Latin (unspecified)	Elbasan	Greek (unspecified)	Latin with Greek letters (unspecified)	Vithkuqi	Greek with Latin letters (unspecified)	Latin (Kristoforidhi)	Greek (Kristoforidhi)	Perso-Arabic	Cyrillic	Latin (Frashëri)	Latin (Meyer)	Latin (Bashkimi)	Latin (standard)	Latin (Agimi)	Latin (Vatra)	
1555	200																	
1560																		
1565																		
1570																		
1575																		
1580																		
1585																		
1590		28																
1595																		
1600																		
1605																		
1610																		
1615	229																	
1620	782																	
1625																		
1630																		
1635	510																	
1640																		
1645																		
1650																		
1655																		
1660	288																	
1665																		
1670																		
1675																		
1680																		
1685	345																	
1690	344																	
1695																		
1700	737																	
1705	115																	
1710																		
1715	228																	
1720																		
1725																		
1730																		
1735																		
1740	92																	
1745																		
1750																		
1755																		
1760		36	61															
1765																		
1770				94														
1775																		
1780																		
1785																		
1790																		
1795																		
1800				100														
1805																		
1810																		
1815																		
1820				191														
1825				839														
1830		76			36													
1835					96													
1840					68	8												
1845	432				488	52												
1850							800											
1855	288			843	148													
1860	696																	
1865	1976	88						420	122	34								
1870	981	761						1074	143									
1875	1876	192		419					423		178	152						
1880	982	506		164					831				190					
1885	598	229										1551	105					
1890	780	46										278	225					
1895	1557	234			36							1541	222	134				
1900	1416	126							502			1157		500		280		
1905	1495	277			94					86		3056		1247	542	168		
1910		483								43		2773			5740			
1915		584			10							289			1265		108	
1920															1294		208	
1925		32													2885			
1930															1361			
1935															1632			
1940															1704			
