year	Latin with Catholic symbols	Latin (unspecified)	Elbasan	Greek (unspecified)	Latin with Greek letters (unspecified)	Vithkuqi	Greek with Latin letters (unspecified)	Latin (Kristoforidhi)	Greek (Kristoforidhi)	Perso-Arabic	Cyrillic	Latin (Frashëri)	Latin (Meyer)	Latin (Bashkimi)	Latin (standard)	Latin (Agimi)	Latin (Vatra)	
1555	1																	
1560																		
1565																		
1570																		
1575																		
1580																		
1585																		
1590		1																
1595																		
1600																		
1605																		
1610																		
1615	1																	
1620	2																	
1625																		
1630																		
1635	2																	
1640																		
1645																		
1650																		
1655																		
1660	1																	
1665																		
1670																		
1675																		
1680																		
1685	3																	
1690	2																	
1695																		
1700	2																	
1705	1																	
1710																		
1715	1																	
1720																		
1725																		
1730																		
1735																		
1740	2																	
1745																		
1750																		
1755																		
1760		1	1															
1765																		
1770				1														
1775																		
1780																		
1785																		
1790																		
1795																		
1800				1														
1805																		
1810																		
1815																		
1820				2														
1825				1														
1830		1			1													
1835					1													
1840					1	1												
1845	2				2	1												
1850							1											
1855	1			1	1													
1860	4																	
1865	5	1						1	1	1								
1870	5	6						5	1									
1875	4	1		3					1		1	2						
1880	3	4		1					4				2					
1885	5	3										15	1					
1890	6	2										3	2					
1895	12	1			3							14	2	3				
1900	7	2							1			11		4		2		
1905	5	1			1					2		36		9	3	2		
1910		5								2		28			44			
1915		4			1							2			64		9	
1920															18		1	
1925		1													31			
1930															10			
1935															15			
1940															7			
